grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
45,0,SecondPhase,86,10.534999999999998,333.22093023255815,87.38372093023256,80,326,94,343,47.112698372208094,10.464157913908982
46,0,SecondPhase,235,28.787499999999998,718.2765957446809,94.12765957446808,86,710,103,727,54.04163056034262,17.297725082009
47,0,SecondPhase,81,9.9225,73.4320987654321,93.4320987654321,89,62,98,87,55.384776310850235,10.155412503859614
48,0,SecondPhase,4,0.48999999999999994,567.5,91.5,91,567,93,569,4.0,2.256758334191025
49,0,SecondPhase,8,0.9799999999999999,1023.0,95.5,92,1023,100,1024,6.0,3.1915382432114616
50,0,SecondPhase,4,0.48999999999999994,353.5,94.5,94,353,96,355,4.0,2.256758334191025
51,0,SecondPhase,6,0.7349999999999999,625.8333333333334,95.16666666666667,94,625,97,628,6.242640687119286,2.763953195770684
52,0,SecondPhase,133,16.292499999999997,587.375939849624,102.86466165413533,95,580,112,594,55.04163056034261,13.013103375051497
53,0,SecondPhase,123,15.067499999999997,36.26829268292683,101.92682926829268,97,21,108,50,70.42640687119285,12.514330345744634
54,0,SecondPhase,783,95.91749999999999,613.7330779054917,137.029374201788,99,598,179,643,262.770598642227,31.574460621325464
55,0,SecondPhase,254,31.114999999999995,886.2362204724409,116.4724409448819,101,874,132,899,85.53300858899107,17.983404693292407
56,0,SecondPhase,92,11.269999999999998,467.19565217391306,107.77173913043478,105,459,112,477,40.14213562373095,10.823032759612019
57,0,SecondPhase,67,8.2075,154.83582089552237,110.65671641791045,107,149,115,162,33.55634918610404,9.23618154310838
58,0,SecondPhase,125,15.312499999999998,441.08,113.88,108,424,118,457,71.66295090390226,12.6156626101008
59,0,SecondPhase,70,8.575,489.15714285714284,110.91428571428571,108,482,115,497,33.55634918610404,9.440697438826296
60,0,SecondPhase,26,3.1849999999999996,503.34615384615387,113.15384615384616,111,501,116,507,16.242640687119284,5.753627391751592
61,0,SecondPhase,52,6.369999999999999,520.0384615384615,118.34615384615384,112,518,126,523,28.692388155425117,8.136857890256438
62,0,SecondPhase,128,15.679999999999998,296.7578125,120.09375,113,291,129,302,43.798989873223334,12.766152972845846
63,0,SecondPhase,229,28.052499999999995,396.8296943231441,122.56768558951966,113,386,131,409,67.11269837220809,17.075475271404667
