% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
100.00000 35.00000 0.00000 2.37221
105.00000 35.00000 0.00000 2.34433
110.00000 35.00000 0.00000 2.36366
115.00000 35.00000 0.00000 2.37951
120.00000 35.00000 0.00000 2.33929
125.00000 35.00000 0.00000 2.22526
130.00000 35.00000 0.00000 2.01945
135.00000 35.00000 0.00000 1.70787
140.00000 35.00000 0.00000 1.37826
145.00000 35.00000 0.00000 1.09540
150.00000 35.00000 0.00000 0.87497
155.00000 35.00000 0.00000 0.73298
160.00000 35.00000 0.00000 0.66240
165.00000 35.00000 0.00000 0.64372
170.00000 35.00000 0.00000 0.65424
175.00000 35.00000 0.00000 0.67548
180.00000 35.00000 0.00000 0.68512
185.00000 35.00000 0.00000 0.67085
190.00000 35.00000 0.00000 0.65299
195.00000 35.00000 0.00000 0.65261
200.00000 35.00000 0.00000 0.67664
205.00000 35.00000 0.00000 0.73864
210.00000 35.00000 0.00000 0.85967
215.00000 35.00000 0.00000 1.04838
220.00000 35.00000 0.00000 1.29553
225.00000 35.00000 0.00000 1.59609
230.00000 35.00000 0.00000 1.90934
235.00000 35.00000 0.00000 2.17071
240.00000 35.00000 0.00000 2.37343
245.00000 35.00000 0.00000 2.52981
250.00000 35.00000 0.00000 2.61499
255.00000 35.00000 0.00000 2.63434
260.00000 35.00000 0.00000 2.66675
265.00000 35.00000 0.00000 2.75925
270.00000 35.00000 0.00000 2.87743
275.00000 35.00000 0.00000 2.99230
280.00000 35.00000 0.00000 3.15146
285.00000 35.00000 0.00000 3.41460
290.00000 35.00000 0.00000 3.73383
295.00000 35.00000 0.00000 3.95046
300.00000 35.00000 0.00000 3.92005
305.00000 35.00000 0.00000 3.65361
310.00000 35.00000 0.00000 3.17492
315.00000 35.00000 0.00000 2.51493
320.00000 35.00000 0.00000 1.94720
325.00000 35.00000 0.00000 1.48027
330.00000 35.00000 0.00000 1.06700
335.00000 35.00000 0.00000 0.80754
340.00000 35.00000 0.00000 0.68444
345.00000 35.00000 0.00000 0.64372
350.00000 35.00000 0.00000 0.64483
355.00000 35.00000 0.00000 0.65979
0.00000 40.00000 0.00000 0.88886
5.00000 40.00000 0.00000 0.87071
10.00000 40.00000 0.00000 0.87026
15.00000 40.00000 0.00000 0.90796
20.00000 40.00000 0.00000 0.99323
25.00000 40.00000 0.00000 1.16439
30.00000 40.00000 0.00000 1.48740
35.00000 40.00000 0.00000 1.98982
40.00000 40.00000 0.00000 2.50506
45.00000 40.00000 0.00000 3.05426
50.00000 40.00000 0.00000 3.81282
55.00000 40.00000 0.00000 4.30039
60.00000 40.00000 0.00000 4.47161
65.00000 40.00000 0.00000 4.45776
70.00000 40.00000 0.00000 4.32749
75.00000 40.00000 0.00000 4.19227
80.00000 40.00000 0.00000 4.11818
85.00000 40.00000 0.00000 4.06795
90.00000 40.00000 0.00000 3.98405
95.00000 40.00000 0.00000 3.87447
100.00000 40.00000 0.00000 3.81428
105.00000 40.00000 0.00000 3.84056
110.00000 40.00000 0.00000 3.86557
115.00000 40.00000 0.00000 3.80494
120.00000 40.00000 0.00000 3.66079
125.00000 40.00000 0.00000 3.42576
130.00000 40.00000 0.00000 3.02608
135.00000 40.00000 0.00000 2.45878
140.00000 40.00000 0.00000 1.93731
145.00000 40.00000 0.00000 1.52170
150.00000 40.00000 0.00000 1.17777
155.00000 40.00000 0.00000 0.95258
160.00000 40.00000 0.00000 0.84335
165.00000 40.00000 0.00000 0.82757
170.00000 40.00000 0.00000 0.85884
175.00000 40.00000 0.00000 0.88995
180.00000 40.00000 0.00000 0.89635
185.00000 40.00000 0.00000 0.88298
190.00000 40.00000 0.00000 0.87567
195.00000 40.00000 0.00000 0.88407
200.00000 40.00000 0.00000 0.91422
205.00000 40.00000 0.00000 1.00377
210.00000 40.00000 0.00000 1.20947
215.00000 40.00000 0.00000 1.54207
220.00000 40.00000 0.00000 1.91992
225.00000 40.00000 0.00000 2.35680
230.00000 40.00000 0.00000 2.89236
235.00000 40.00000 0.00000 3.37171
240.00000 40.00000 0.00000 3.71558
245.00000 40.00000 0.00000 3.91934
250.00000 40.00000 0.00000 3.99523
255.00000 40.00000 0.00000 4.02071
260.00000 40.00000 0.00000 4.08842
265.00000 40.00000 0.00000 4.18662
270.00000 40.00000 0.00000 4.25084
275.00000 40.00000 0.00000 4.29219
280.00000 40.00000 0.00000 4.40796
285.00000 40.00000 0.00000 4.65430
290.00000 40.00000 0.00000 4.91065
295.00000 40.00000 0.00000 5.00871
300.00000 40.00000 0.00000 4.87690
305.00000 40.00000 0.00000 4.49638
310.00000 40.00000 0.00000 3.86830
315.00000 40.00000 0.00000 3.10719
320.00000 40.00000 0.00000 2.39708
325.00000 40.00000 0.00000 1.79639
330.00000 40.00000 0.00000 1.30333
335.00000 40.00000 0.00000 0.99193
340.00000 40.00000 0.00000 0.84854
345.00000 40.00000 0.00000 0.82343
350.00000 40.00000 0.00000 0.85575
355.00000 40.00000 0.00000 0.88728
0.00000 45.00000 0.00000 0.99799
5.00000 45.00000 0.00000 0.98100
10.00000 45.00000 0.00000 0.98020
15.00000 45.00000 0.00000 1.00402
20.00000 45.00000 0.00000 1.05896
25.00000 45.00000 0.00000 1.19416
30.00000 45.00000 0.00000 1.48678
35.00000 45.00000 0.00000 1.95101
40.00000 45.00000 0.00000 2.39713
45.00000 45.00000 0.00000 2.90188
50.00000 45.00000 0.00000 3.70095
55.00000 45.00000 0.00000 4.32259
60.00000 45.00000 0.00000 4.65287
65.00000 45.00000 0.00000 4.78709
70.00000 45.00000 0.00000 4.77908
75.00000 45.00000 0.00000 4.74939
80.00000 45.00000 0.00000 4.77945
85.00000 45.00000 0.00000 4.81841
90.00000 45.00000 0.00000 4.79622
95.00000 45.00000 0.00000 4.74012
100.00000 45.00000 0.00000 4.75681
105.00000 45.00000 0.00000 4.89155
110.00000 45.00000 0.00000 5.00248
115.00000 45.00000 0.00000 4.95560
120.00000 45.00000 0.00000 4.76129
125.00000 45.00000 0.00000 4.40041
